,index,0_throughput,1_throughput,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
74,74,[[4248314]],[[33005568]],[4746056.710612891],[10531822.656756427],[10467450.525648836],[29923342.223955162],[79984226.00804192],[1339108467.164128],[4326810827.751919],[5488792499.265505],[0.4506396343056705],[0.05972946028593712],[0.3498088698550895],[0.7882992166912706]
75,75,[[4090590]],[[32952320]],[4591233.942082913],[10078871.903929485],[10014303.085768238],[28931559.61147111],[77528689.90275927],[1372798942.3366203],[4434892085.663377],[5497281454.435746],[0.4555305381243026],[0.056474905036566284],[0.346137685636472],[0.8067427732092689]
76,76,[[3878766]],[[32942080]],[4583784.094015284],[9648198.177048925],[9581634.458365904],[27068025.17727872],[73777509.2508037],[1382747039.1490858],[4467053114.928191],[5478668763.409728],[0.4750922410486097],[0.05335575283256789],[0.3539835062074962],[0.8153537488453777]
77,77,[[3633213]],[[32909312]],[4571857.498077598],[9480444.750862677],[9411024.723382665],[25621349.260840222],[70715481.87143566],[1408531888.4342732],[4550536105.550966],[5498858076.087565],[0.48224082500576576],[0.0502050982672768],[0.36731183153443503],[0.8275420173762096]
78,78,[[5655782]],[[32954368]],[7086702.235962007],[13711321.86285497],[13633261.908385223],[36011345.39735518],[86440194.64306502],[1370450946.073267],[4417982240.922571],[5453728216.010562],[0.516850403399867],[0.06307427120302324],[0.3785824094588398],[0.8100847834610934]
79,79,[[5491502]],[[32935936]],[6247026.220825588],[12723750.150609704],[12652732.969167667],[33817801.81191581],[82697337.43999031],[1393709328.7639904],[4490123385.928679],[5331115086.635135],[0.49097366317950214],[0.059336144010265296],[0.37414415755164304],[0.8422484438922012]
80,80,[[5067909]],[[32972800]],[6293217.931552152],[12594583.549412712],[12520247.19828715],[33370979.606974233],[82019928.60022421],[1470190589.5230534],[4736713124.302923],[5513826503.779902],[0.49967654006675005],[0.05578863664664893],[0.3751836879151888],[0.8590609662918767]
81,81,[[4862318]],[[32974848]],[5951536.503713219],[11909555.777764425],[11836410.265822334],[32167928.620610576],[79451508.26196603],[1490355653.4237967],[4801862946.441465],[5509325442.1353],[0.4997278332433654],[0.05331043504913874],[0.3679568680166286],[0.871588182051624]
82,82,[[4612014]],[[32956416]],[5236805.227521004],[11070578.626036398],[11003671.784653988],[30465164.149176497],[75357811.62321682],[1506413784.1727307],[4853707010.124492],[5435332446.380739],[0.4730380772694931],[0.05002464290686286],[0.36118865898024144],[0.8929917457682762]
83,83,[[4317694]],[[33028096]],[4677563.001064961],[10543090.700797133],[10480787.468496084],[29387855.308741234],[72656054.86879088],[1545173825.6819012],[4975891458.098559],[5440159781.23387],[0.4436614588463422],[0.04702128243515063],[0.3566366908502724],[0.9146590648427589]
84,84,[[6129846]],[[33017856]],[8250036.943542439],[15513367.067661703],[15438159.189753713],[39544937.727006145],[88895553.00609604],[1445552280.623008],[4653640276.958679],[5495160037.066084],[0.5318018266157064],[0.06149591003916067],[0.3903953344503724],[0.8468616465341927]
85,85,[[5833026]],[[33003520]],[7431813.9835242685],[14459568.456732525],[14384367.355591293],[38221594.31980662],[85808110.93342268],[1484679521.494876],[4776736485.420678],[5445541787.952497],[0.5139720459682141],[0.057795712604040816],[0.37634137485827596],[0.8771829638675335]
